epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.6878,23.83,1.6433,23.44,2.00e-04
2,1.6956,22.66,1.5460,32.81,3.00e-04
3,1.5947,27.93,1.4896,43.75,4.00e-04
4,1.4858,34.96,1.5355,40.62,5.00e-04
5,1.5599,28.91,1.6003,35.94,6.00e-04
6,1.5383,31.64,1.5308,42.19,7.00e-04
7,1.5204,33.79,1.4890,39.06,8.00e-04
8,1.5466,29.88,1.4024,42.19,9.00e-04
9,1.4994,33.59,1.4762,40.62,1.00e-03
10,1.4974,33.20,1.5312,39.06,1.00e-03
11,1.5027,32.42,1.5407,40.62,1.00e-03
12,1.5661,28.52,1.5603,37.50,1.00e-03
13,1.4561,34.57,1.6253,43.75,9.99e-04
14,1.5086,33.20,1.5105,32.81,9.99e-04
15,1.4862,35.55,1.9499,32.81,9.98e-04
16,1.4890,35.55,1.9341,40.62,9.98e-04
17,1.4330,38.28,1.5515,42.19,9.97e-04
18,1.5546,29.10,1.5151,34.38,9.96e-04
19,1.4711,31.64,1.4978,45.31,9.94e-04
20,1.4181,35.94,1.5054,35.94,9.93e-04
21,1.4416,36.52,2.1831,32.81,9.92e-04
22,1.4290,36.52,1.8235,35.94,9.90e-04
23,1.4509,36.72,1.8061,32.81,9.89e-04
24,1.4732,35.16,1.5064,40.62,9.87e-04
25,1.5289,31.25,1.7252,37.50,9.85e-04
26,1.4458,35.16,1.6504,31.25,9.83e-04
27,1.4424,37.30,2.1433,34.38,9.80e-04
28,1.4293,37.89,1.9054,35.94,9.78e-04
29,1.4221,41.80,1.7815,42.19,9.76e-04
30,1.4400,34.18,1.7457,35.94,9.73e-04
31,1.3970,37.11,2.1575,35.94,9.70e-04
32,1.4182,39.26,1.8969,39.06,9.67e-04
33,1.4330,38.28,2.0310,37.50,9.64e-04
34,1.4175,37.50,1.9040,34.38,9.61e-04
35,1.3610,41.99,1.6204,43.75,9.58e-04
36,1.4221,36.91,1.7333,40.62,9.55e-04
37,1.3777,38.48,2.0170,39.06,9.51e-04
38,1.3465,42.58,1.6556,37.50,9.47e-04
39,1.4228,40.04,1.6711,37.50,9.44e-04
40,1.4164,41.80,1.5248,42.19,9.40e-04
41,1.4078,39.26,1.7540,43.75,9.36e-04
42,1.4245,38.87,1.6023,45.31,9.32e-04
43,1.3731,38.67,1.5125,45.31,9.27e-04
44,1.3328,41.02,1.6419,42.19,9.23e-04
