epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.7387,21.68,1.6453,14.06,2.00e-04
2,1.7400,19.73,1.5825,35.94,3.00e-04
3,1.6637,26.76,1.5155,37.50,4.00e-04
4,1.6092,28.91,1.6321,32.81,5.00e-04
5,1.6808,24.41,1.4918,48.44,6.00e-04
6,1.5743,30.47,1.5151,37.50,7.00e-04
7,1.5692,30.66,1.7478,37.50,8.00e-04
8,1.6282,29.69,1.6154,31.25,9.00e-04
9,1.5673,31.05,1.5543,32.81,1.00e-03
10,1.5703,28.32,1.5114,31.25,1.00e-03
11,1.5413,30.86,1.5039,40.62,1.00e-03
12,1.6098,27.93,1.7997,32.81,1.00e-03
13,1.5430,30.66,1.8439,35.94,9.99e-04
14,1.5422,29.69,1.6318,35.94,9.99e-04
15,1.5089,32.81,1.6536,31.25,9.98e-04
16,1.5407,29.49,1.4406,50.00,9.98e-04
17,1.5038,30.27,1.4556,46.88,9.97e-04
18,1.5412,31.84,1.4220,45.31,9.96e-04
19,1.5163,33.01,1.7988,34.38,9.94e-04
20,1.5030,36.13,2.1566,31.25,9.93e-04
21,1.5197,32.23,1.6428,39.06,9.92e-04
22,1.4768,35.74,1.4616,43.75,9.90e-04
23,1.5215,32.42,1.4858,40.62,9.89e-04
24,1.5299,34.57,1.6178,29.69,9.87e-04
25,1.5615,30.66,1.4568,37.50,9.85e-04
26,1.5230,30.47,1.4199,43.75,9.83e-04
27,1.4888,32.23,1.4217,45.31,9.80e-04
28,1.4678,36.91,1.7604,32.81,9.78e-04
29,1.4954,37.30,1.5032,40.62,9.76e-04
30,1.4725,33.59,1.5623,40.62,9.73e-04
31,1.5055,30.47,1.4257,37.50,9.70e-04
32,1.4744,32.03,1.7134,35.94,9.67e-04
33,1.5016,33.20,1.5133,43.75,9.64e-04
34,1.4540,36.13,1.5802,42.19,9.61e-04
35,1.4199,35.74,1.4883,43.75,9.58e-04
36,1.5123,31.84,1.6359,39.06,9.55e-04
37,1.4638,33.40,1.5351,40.62,9.51e-04
38,1.4192,38.28,1.5460,32.81,9.47e-04
39,1.4880,34.38,1.6451,35.94,9.44e-04
40,1.4784,37.30,1.6808,32.81,9.40e-04
41,1.4605,38.09,1.5695,37.50,9.36e-04
