epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.6862,21.88,1.6162,23.44,2.00e-04
2,1.6733,22.07,1.6071,23.44,3.00e-04
3,1.5718,31.05,1.5453,26.56,4.00e-04
4,1.5311,33.01,1.5299,31.25,5.00e-04
5,1.5415,29.30,1.4554,43.75,6.00e-04
6,1.5513,30.66,1.5402,34.38,7.00e-04
7,1.5124,32.81,1.5060,31.25,8.00e-04
8,1.5233,31.45,1.5452,37.50,9.00e-04
9,1.5136,34.77,1.7374,31.25,1.00e-03
10,1.4985,33.40,1.4742,39.06,1.00e-03
11,1.5210,30.86,1.6809,18.75,1.00e-03
12,1.5023,34.18,1.7078,23.44,1.00e-03
13,1.4872,35.74,1.4993,37.50,9.99e-04
14,1.4904,33.59,1.5411,37.50,9.99e-04
15,1.4771,33.79,1.5146,35.94,9.98e-04
16,1.4723,32.03,1.6920,26.56,9.98e-04
17,1.4470,37.70,1.5166,35.94,9.97e-04
18,1.4787,32.42,1.5409,34.38,9.96e-04
19,1.4865,33.40,1.4593,43.75,9.94e-04
20,1.4195,36.33,1.5029,35.94,9.93e-04
21,1.4307,36.52,1.6391,34.38,9.92e-04
22,1.4149,38.09,1.6940,40.62,9.90e-04
23,1.4604,36.13,1.4275,40.62,9.89e-04
24,1.4261,37.30,1.6314,39.06,9.87e-04
25,1.4294,39.06,1.4387,45.31,9.85e-04
26,1.4338,35.74,1.5099,31.25,9.83e-04
27,1.4634,35.94,1.4261,46.88,9.80e-04
28,1.4206,35.35,1.4721,37.50,9.78e-04
29,1.4187,36.13,1.5167,37.50,9.76e-04
30,1.4223,34.38,1.6281,35.94,9.73e-04
31,1.3751,40.23,1.6110,40.62,9.70e-04
32,1.3862,41.21,1.9927,32.81,9.67e-04
33,1.4031,36.52,1.4714,39.06,9.64e-04
34,1.3922,38.09,1.9048,39.06,9.61e-04
35,1.3563,41.02,1.7449,35.94,9.58e-04
36,1.4133,36.52,1.6447,40.62,9.55e-04
37,1.3372,41.80,1.5403,40.62,9.51e-04
38,1.3471,43.36,1.4338,40.62,9.47e-04
39,1.4128,40.04,1.5556,34.38,9.44e-04
40,1.3294,41.99,1.6781,35.94,9.40e-04
41,1.3892,40.62,1.6498,35.94,9.36e-04
42,1.3695,41.41,1.4812,42.19,9.32e-04
43,1.3291,42.77,1.6528,42.19,9.27e-04
44,1.3059,42.97,1.4704,45.31,9.23e-04
45,1.3320,43.75,2.8080,31.25,9.19e-04
46,1.3709,41.02,1.4312,45.31,9.14e-04
47,1.3536,42.97,1.5481,39.06,9.09e-04
48,1.3232,45.70,1.5605,37.50,9.05e-04
49,1.3090,44.73,2.5828,34.38,9.00e-04
50,1.3445,42.77,1.4929,45.31,8.95e-04
51,1.3824,40.82,1.6429,40.62,8.90e-04
52,1.3841,38.67,1.5445,42.19,8.84e-04
