epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.1188,15.62,2.0789,15.58,2.00e-04
2,2.0189,17.76,2.0944,7.79,3.00e-04
3,1.9946,19.90,2.2558,7.79,4.00e-04
4,1.9186,24.51,3.1226,6.49,5.00e-04
5,1.8932,21.55,2.6250,9.09,5.00e-04
6,1.8805,23.68,2.8932,12.99,5.00e-04
7,1.8702,22.86,2.4938,14.29,4.99e-04
8,1.8158,24.34,2.8764,11.69,4.99e-04
9,1.8833,20.89,2.2913,19.48,4.98e-04
10,1.8289,24.84,3.1152,10.39,4.97e-04
11,1.8334,25.66,2.6330,18.18,4.95e-04
12,1.8413,23.19,2.8421,11.69,4.93e-04
13,1.7857,24.84,3.0973,9.09,4.91e-04
14,1.7701,25.16,2.1482,24.68,4.89e-04
15,1.7421,27.30,2.2961,23.38,4.86e-04
16,1.7769,27.96,2.7407,19.48,4.84e-04
17,1.8353,23.36,2.9227,20.78,4.81e-04
18,1.7935,28.12,2.5762,15.58,4.77e-04
19,1.7285,27.80,2.6344,16.88,4.74e-04
20,1.7467,28.12,2.7122,22.08,4.70e-04
21,1.7695,28.62,2.8919,22.08,4.66e-04
22,1.7370,28.12,2.8612,11.69,4.62e-04
23,1.7185,27.96,3.8192,10.39,4.57e-04
24,1.6175,30.10,3.6244,9.09,4.52e-04
25,1.7926,25.33,2.7096,16.88,4.47e-04
26,1.6262,31.25,2.7761,15.58,4.42e-04
27,1.6483,29.61,3.5005,14.29,4.37e-04
28,1.7187,26.97,3.7517,15.58,4.31e-04
29,1.6569,30.76,3.8152,18.18,4.25e-04
