chm_resolution,smooth_sigma,local_max_window,min_tree_height,min_crown_pixels,n_trees,n_noise_pts,noise_frac,density_ha,median_crown_m2,mean_crown_m2,cv_crown_area,min_crown_m2,max_crown_m2,coverage_frac,tp,fp,fn,precision,recall,f1,n_detected,n_gt,quality_score
0.75,0.5,3,3.0,4,881,43128,0.0997,330.75,17.44,27.01,0.9988,2.25,163.69,0.9939,736,145,128,0.8354,0.8519,0.8436,881,864,0.9251
0.5,0.5,5,3.0,4,965,45738,0.1057,362.29,15.25,23.88,1.0781,1.0,192.25,0.9972,759,206,105,0.7865,0.8785,0.83,965,864,0.9217
0.3,2.5,9,3.0,4,724,56804,0.1313,271.81,11.38,24.52,1.2786,0.36,238.41,1.0,644,80,220,0.8895,0.7454,0.8111,724,864,0.9111
0.3,2.5,5,3.0,4,947,56804,0.1313,355.53,8.82,18.74,1.2629,0.36,162.0,1.0,731,216,133,0.7719,0.8461,0.8073,947,864,0.9114
0.3,2.5,3,3.0,4,1029,56804,0.1313,386.32,8.37,17.25,1.2658,0.36,162.0,1.0,745,284,119,0.724,0.8623,0.7871,1029,864,0.9113
0.5,1.5,3,3.0,4,614,44416,0.1027,230.51,23.5,37.64,1.0959,1.0,238.75,0.9998,574,40,290,0.9349,0.6644,0.7767,614,864,0.922
0.5,1.5,5,3.0,4,544,44409,0.1027,204.23,27.0,42.48,1.0887,1.0,283.25,0.9998,520,24,344,0.9559,0.6019,0.7386,544,864,0.9222
0.3,1.5,9,3.0,4,1296,56861,0.1315,486.56,5.67,13.69,1.4168,0.36,167.04,0.9998,767,529,97,0.5918,0.8877,0.7102,1296,864,0.9085
0.75,0.5,5,3.0,4,465,40956,0.0947,174.58,32.06,51.41,1.1248,2.25,450.0,0.9984,457,8,407,0.9828,0.5289,0.6877,465,864,0.9234
0.3,0.5,9,3.0,4,1553,56984,0.1317,583.04,6.21,11.42,1.1884,0.36,116.37,0.9996,804,749,60,0.5177,0.9306,0.6653,1553,864,0.9128
0.5,0.5,9,3.0,4,395,44573,0.103,148.3,35.5,58.48,1.0825,1.0,396.5,0.9995,390,5,474,0.9873,0.4514,0.6195,395,864,0.9223
0.5,1.5,9,3.0,4,355,44382,0.1026,133.28,36.5,65.1,1.1581,1.0,434.25,0.9999,351,4,513,0.9887,0.4062,0.5759,355,864,0.9207
0.5,0.5,3,3.0,4,2292,49223,0.1138,860.49,6.75,9.98,0.9985,1.0,89.5,0.9895,826,1466,38,0.3604,0.956,0.5234,2292,864,0.9005
0.5,2.5,3,3.0,4,287,44367,0.1026,107.75,42.25,80.53,1.1508,1.5,469.5,1.0,285,2,579,0.993,0.3299,0.4952,287,864,0.9208
0.5,2.5,5,3.0,4,272,44367,0.1026,102.12,45.5,84.97,1.1274,1.5,469.5,1.0,271,1,593,0.9963,0.3137,0.4771,272,864,0.9214
0.75,1.5,3,3.0,4,271,40283,0.0931,101.74,48.38,88.35,1.0737,2.25,511.31,0.9999,269,2,595,0.9926,0.3113,0.474,271,864,0.9249
0.3,1.5,5,3.0,4,2523,57086,0.132,947.21,3.51,7.03,1.3424,0.36,166.14,0.9991,797,1726,67,0.3159,0.9225,0.4706,2523,864,0.7588
0.75,1.5,5,3.0,4,239,40262,0.0931,89.73,49.5,100.18,1.0918,2.25,533.81,0.9999,238,1,626,0.9958,0.2755,0.4316,239,864,0.9245
0.5,2.5,9,3.0,4,224,44367,0.1026,84.1,55.62,103.18,1.0893,1.5,512.25,1.0,223,1,641,0.9955,0.2581,0.4099,224,864,0.9222
0.3,1.5,3,3.0,4,3215,57213,0.1323,1207.01,2.97,5.51,1.336,0.36,158.31,0.9988,801,2414,63,0.2491,0.9271,0.3927,3215,864,0.6665
0.75,0.5,9,3.0,4,208,40277,0.0931,78.09,49.22,115.11,1.4013,2.25,1373.06,0.9999,205,3,659,0.9856,0.2373,0.3825,208,864,0.9184
0.75,1.5,9,3.0,4,156,40244,0.093,58.57,53.44,153.48,1.5183,2.25,1662.75,0.9999,156,0,708,1.0,0.1806,0.3059,156,864,0.9165
0.3,0.5,5,3.0,4,5591,59075,0.1366,2099.03,1.98,3.16,1.0305,0.36,29.61,0.9943,828,4763,36,0.1481,0.9583,0.2565,5591,864,0.518
0.75,2.5,3,3.0,4,126,40232,0.093,47.3,145.69,190.04,0.9774,2.25,923.06,1.0,126,0,738,1.0,0.1458,0.2545,126,864,0.7533
0.75,2.5,5,3.0,4,116,40232,0.093,43.55,160.88,206.42,0.9681,2.25,923.06,1.0,116,0,748,1.0,0.1343,0.2367,116,864,0.7129
0.75,2.5,9,3.0,4,93,40232,0.093,34.92,189.56,257.47,0.9595,2.25,982.69,1.0,93,0,771,1.0,0.1076,0.1944,93,864,0.635
0.3,0.5,3,3.0,4,14847,77228,0.1785,5574.02,0.81,1.13,0.8092,0.36,11.88,0.9481,834,14013,30,0.0562,0.9653,0.1062,14847,864,0.3604
